price,rent,Apartement
2000.0,rent,apartment
2500.0,rent,store
11000.0,rent,apartment
2200.0,rent,apartment
15000.0,rent,house
4800.0,rent,apartment
2500.0,rent,apartment
4800.0,rent,apartment
9000.0,rent,apartment
30000.0,rent,house
4500.0,rent,house
1800.0,rent,apartment
1200.0,rent,house
23900.0,rent,house
4800.0,rent,apartment
4200.0,rent,apartment
4200.0,rent,house
9800.0,rent,house
5000.0,rent,house
15000.0,rent,house
50000.0,rent,store
25000.0,rent,house
7500.0,rent,house
2500.0,rent,house
7000.0,rent,apartment
23000.0,rent,house
3500.0,rent,house
16000.0,rent,house
40000.0,rent,house
6800.0,rent,apartment
2500.0,rent,house
15000.0,rent,house
16000.0,rent,house
6400.0,rent,apartment
4000.0,rent,house
2500.0,rent,house
5000.0,rent,apartment
2500.0,rent,house
25000.0,rent,house
2300.0,rent,store
20000.0,rent,store
3500.0,rent,house
2800.0,rent,apartment
9500.0,rent,apartment
3000.0,rent,house
4800.0,rent,apartment
30000.0,rent,house
16000.0,rent,house
25000.0,rent,house
4500.0,rent,apartment
4500.0,rent,house
22000.0,rent,house
2000.0,rent,apartment
10000.0,rent,apartment
6000.0,rent,house
35000.0,rent,store
750.0,rent,apartment
2100.0,rent,apartment
2500.0,rent,house
3800.0,rent,store
3500.0,rent,house
45000.0,rent,house
4500.0,rent,apartment
11000.0,rent,store
9000.0,rent,apartment
30000.0,rent,house
3500.0,rent,apartment
4900.0,rent,apartment
4200.0,rent,house
2400.0,rent,apartment
50000.0,rent,house
65000.0,rent,house
25000.0,rent,house
54000.0,rent,store
28000.0,rent,house
27500.0,rent,house
7000.0,rent,house
4900.0,rent,apartment
26000.0,rent,house
19000.0,rent,house
45000.0,rent,house
19000.0,rent,house
24000.0,rent,house
45000.0,rent,house
28000.0,rent,house
13000.0,rent,apartment
45000.0,rent,house
45000.0,rent,house
25000.0,rent,store
71000.0,rent,house
6500.0,rent,house
4000.0,rent,apartment
45000.0,rent,house
14000.0,rent,apartment
2400.0,rent,house
6000.0,rent,house
45000.0,rent,house
6200.0,rent,house
27500.0,rent,house
9000.0,rent,house
60000.0,rent,house
4000.0,rent,apartment
